Receive Time,receive_time_offset_sec,Session ID,session_key,Type,Threat/Content Type,Rule,Action Source,Action,Session End Reason,Application,Source Zone,Destination Zone,Inbound Interface,Outbound Interface,IP Protocol,Source Port,Destination Port,Source Country,Destination Country,Category,Bytes,Bytes Sent,Bytes Received,Packets,Packets Sent,Packets Received,Elapsed Time (sec),Subcategory of app,Category of app,Technology of app,Risk of app,SaaS of app,AI Traffic,has_linked_threat
2000/01/01 00:03:10,190,100010,synthetic-0010,TRAFFIC,end,synthetic-rule-3,from-policy,allow,tcp-rst-from-client,web-browsing,LAN,WAF,ethernet1/2,ethernet1/2,tcp,1495,80,Private-Use,Private-Use,computer-and-internet-info,6502,6090,412,19,15,4,0,internet-utility,general-internet,browser-based,4,no,no,0
2000/01/01 00:04:24,264,100011,synthetic-0011,TRAFFIC,end,synthetic-rule-3,from-policy,allow,tcp-rst-from-server,insufficient-data,LAN,WAN,ae1.10,ethernet1/2,tcp,52444,8443,Private-Use,Netherlands,unknown,23874,19584,4290,45,32,13,0,unknown,unknown,unknown,1,no,no,0
2000/01/01 00:00:48,48,100012,synthetic-0012,TRAFFIC,end,synthetic-rule-1,from-policy,allow,aged-out,ping,LAN,LAN,ethernet1/2,ethernet1/2,icmp,36170,0,Private-Use,Netherlands,any,5566,3304,2262,10,7,3,0,infrastructure,networking,network-protocol,1,no,no,0
2000/01/01 00:01:18,78,100013,synthetic-0013,TRAFFIC,end,synthetic-rule-2,from-policy,allow,tcp-rst-from-server,web-browsing,LAN,LAN,ae1.10,ae1.10,tcp,15032,80,Private-Use,Netherlands,any,5425,5425,0,35,35,0,0,internet-utility,general-internet,browser-based,4,no,no,0
2000/01/01 00:01:10,70,100014,synthetic-0014,TRAFFIC,end,synthetic-rule-1,from-policy,allow,threat,web-browsing,LAN,WAN,ethernet1/3,ethernet1/2,tcp,64509,80,Private-Use,Private-Use,computer-and-internet-info,57596,20636,36960,63,28,35,0,internet-utility,general-internet,browser-based,4,no,no,1
2000/01/01 00:05:00,300,100015,synthetic-0015,TRAFFIC,end,synthetic-rule-1,from-policy,allow,aged-out,web-browsing,LAN,WAN,ethernet1/2,ae1.10,tcp,8880,80,Private-Use,France,any,9250,8250,1000,38,33,5,0,internet-utility,general-internet,browser-based,4,no,no,0
2000/01/01 00:03:28,208,100016,synthetic-0016,TRAFFIC,end,synthetic-rule-1,from-policy,allow,tcp-fin,ssl,DMZ,DMZ,ethernet1/3,ae1.10,tcp,21744,443,Private-Use,Private-Use,any,16316,4256,12060,34,14,20,235,encrypted-tunnel,networking,browser-based,4,no,no,0
2000/01/01 00:02:50,170,100017,synthetic-0017,TRAFFIC,end,synthetic-rule-1,from-policy,allow,aged-out,ssl,LAN,DMZ,ae1.10,ethernet1/3,tcp,41110,443,Private-Use,France,any,10394,7130,3264,27,23,4,0,encrypted-tunnel,networking,browser-based,4,no,no,0
2000/01/01 00:06:00,360,100018,synthetic-0018,TRAFFIC,end,synthetic-rule-1,from-policy,allow,threat,ping,WAN,LAN,ethernet1/3,ethernet1/2,icmp,46079,0,Private-Use,Germany,computer-and-internet-info,17901,12168,5733,45,36,9,0,infrastructure,networking,network-protocol,1,no,no,0
2000/01/01 00:01:54,114,100019,synthetic-0019,TRAFFIC,end,synthetic-rule-3,from-policy,allow,aged-out,insufficient-data,LAN,DMZ,ae1.10,ae1.10,tcp,37783,8443,Private-Use,Private-Use,any,20432,15664,4768,30,22,8,39,unknown,unknown,unknown,1,no,no,0
2000/01/01 00:03:20,200,100020,synthetic-0020,TRAFFIC,end,synthetic-rule-2,from-policy,allow,aged-out,ping,LAN,DMZ,ethernet1/1,ethernet1/3,icmp,14791,0,Private-Use,United States,computer-and-internet-info,5815,1900,3915,37,10,27,0,infrastructure,networking,network-protocol,1,no,no,0
2000/01/01 00:04:54,294,100021,synthetic-0021,TRAFFIC,drop,synthetic-rule-1,from-policy,drop,tcp-rst-from-server,ssl,DMZ,WAN,ethernet1/2,ethernet1/3,tcp,52298,443,Private-Use,Netherlands,computer-and-internet-info,18284,14064,4220,26,16,10,0,encrypted-tunnel,networking,browser-based,4,no,no,0
2000/01/01 00:02:56,176,100022,synthetic-0022,TRAFFIC,end,synthetic-rule-1,from-policy,allow,aged-out,snmpv3-get-request,LAN,WAF,ethernet1/2,ae1.10,udp,22536,161,Private-Use,Germany,any,22732,11160,11572,52,30,22,0,network-management,networking,client-server,2,no,no,0
2000/01/01 00:03:27,207,100023,synthetic-0023,TRAFFIC,end,synthetic-rule-1,from-policy,allow,tcp-rst-from-client,ssl,DMZ,DMZ,ethernet1/1,ae1.10,tcp,23678,443,Private-Use,Germany,unknown,21920,1936,19984,24,8,16,0,encrypted-tunnel,networking,browser-based,4,no,no,0
2000/01/01 00:01:12,72,100024,synthetic-0024,TRAFFIC,end,synthetic-rule-3,from-policy,allow,aged-out,insufficient-data,LAN,WAF,ethernet1/3,ethernet1/3,tcp,44499,8443,Private-Use,Private-Use,computer-and-internet-info,26436,15120,11316,47,35,12,0,unknown,unknown,unknown,1,no,no,0
2000/01/01 00:04:10,250,100025,synthetic-0025,TRAFFIC,end,synthetic-rule-2,from-policy,allow,aged-out,ping,LAN,WAN,ethernet1/1,ethernet1/3,icmp,19827,0,Private-Use,United States,unknown,30725,17250,13475,36,25,11,297,infrastructure,networking,network-protocol,1,no,no,0
2000/01/01 00:09:32,572,100026,synthetic-0026,TRAFFIC,end,synthetic-rule-3,from-policy,allow,tcp-fin,web-browsing,WAN,WAF,ethernet1/3,ethernet1/1,tcp,54660,80,Private-Use,United States,computer-and-internet-info,9425,3850,5575,16,11,5,0,internet-utility,general-internet,browser-based,4,no,no,0
2000/01/01 00:08:33,513,100027,synthetic-0027,TRAFFIC,end,synthetic-rule-1,from-policy,allow,aged-out,dns-base,LAN,WAF,ae1.10,ae1.10,udp,27215,53,Private-Use,United States,any,41541,2420,39121,34,5,29,3,infrastructure,networking,network-protocol,3,no,no,0
2000/01/01 00:03:44,224,100028,synthetic-0028,TRAFFIC,end,synthetic-rule-1,from-policy,allow,tcp-rst-from-server,insufficient-data,LAN,WAN,ae1.10,ethernet1/2,tcp,53545,8443,Private-Use,Netherlands,computer-and-internet-info,38603,3774,34829,63,34,29,272,unknown,unknown,unknown,1,no,no,0
2000/01/01 00:07:15,435,100029,synthetic-0029,TRAFFIC,end,synthetic-rule-2,from-policy,allow,threat,ssl,WAN,WAF,ethernet1/2,ethernet1/3,tcp,51212,443,Private-Use,France,unknown,36888,7992,28896,64,36,28,0,encrypted-tunnel,networking,browser-based,4,no,no,0
2000/01/01 00:06:30,390,100030,synthetic-0030,TRAFFIC,end,synthetic-rule-3,from-policy,allow,aged-out,dns-base,WAN,DMZ,ethernet1/2,ethernet1/2,udp,5233,53,Private-Use,Netherlands,unknown,5548,1284,4264,14,6,8,0,infrastructure,networking,network-protocol,3,no,no,0
2000/01/01 00:06:12,372,100031,synthetic-0031,TRAFFIC,end,synthetic-rule-2,from-policy,allow,aged-out,web-browsing,WAN,LAN,ae1.10,ae1.10,tcp,36296,80,Private-Use,France,computer-and-internet-info,22004,20276,1728,61,37,24,0,internet-utility,general-internet,browser-based,4,no,no,0
2000/01/01 00:00:32,32,100032,synthetic-0032,TRAFFIC,end,synthetic-rule-2,from-policy,allow,tcp-fin,dns-base,WAN,WAF,ethernet1/1,ethernet1/1,udp,43147,53,Private-Use,Netherlands,any,30134,20910,9224,38,30,8,0,infrastructure,networking,network-protocol,3,no,no,0
2000/01/01 00:04:57,297,100033,synthetic-0033,TRAFFIC,end,synthetic-rule-1,from-policy,allow,aged-out,dns-base,WAN,DMZ,ae1.10,ethernet1/1,udp,50112,53,Private-Use,France,any,36441,20750,15691,42,25,17,0,infrastructure,networking,network-protocol,3,no,no,0
2000/01/01 00:04:32,272,100034,synthetic-0034,TRAFFIC,end,synthetic-rule-1,from-policy,allow,threat,dns-base,DMZ,LAN,ae1.10,ethernet1/1,udp,37984,53,Private-Use,United States,unknown,9420,9048,372,14,13,1,132,infrastructure,networking,network-protocol,3,no,no,0
2000/01/01 00:00:35,35,100035,synthetic-0035,TRAFFIC,end,synthetic-rule-2,from-policy,allow,threat,dns-base,LAN,WAN,ae1.10,ae1.10,udp,62724,53,Private-Use,United States,any,25525,1870,23655,30,11,19,0,infrastructure,networking,network-protocol,3,no,no,1
2000/01/01 00:08:24,504,100036,synthetic-0036,TRAFFIC,end,synthetic-rule-3,from-policy,allow,tcp-rst-from-server,snmpv3-get-request,WAN,LAN,ethernet1/3,ethernet1/1,udp,34182,161,Private-Use,Germany,any,17657,15355,2302,39,37,2,216,network-management,networking,client-server,2,no,no,0
2000/01/01 00:12:57,777,100037,synthetic-0037,TRAFFIC,end,synthetic-rule-2,from-policy,allow,threat,dns-base,WAN,WAF,ae1.10,ae1.10,udp,29569,53,Private-Use,France,unknown,35116,22708,12408,39,28,11,166,infrastructure,networking,network-protocol,3,no,no,0
2000/01/01 00:06:58,418,100038,synthetic-0038,TRAFFIC,end,synthetic-rule-1,from-policy,allow,aged-out,snmpv3-get-request,WAN,WAN,ae1.10,ethernet1/3,udp,12941,161,Private-Use,Netherlands,any,60132,27528,32604,76,37,39,182,network-management,networking,client-server,2,no,no,0
2000/01/01 00:15:36,936,100039,synthetic-0039,TRAFFIC,end,synthetic-rule-2,from-policy,allow,tcp-rst-from-server,web-browsing,LAN,DMZ,ae1.10,ethernet1/2,tcp,46283,80,Private-Use,Netherlands,computer-and-internet-info,11646,4998,6648,46,34,12,0,internet-utility,general-internet,browser-based,4,no,no,0
2000/01/01 00:11:20,680,100040,synthetic-0040,TRAFFIC,end,synthetic-rule-2,from-policy,allow,aged-out,dns-base,LAN,WAN,ae1.10,ethernet1/3,udp,24080,53,Private-Use,Netherlands,unknown,48111,20672,27439,61,38,23,0,infrastructure,networking,network-protocol,3,no,no,0
2000/01/01 00:17:05,1025,100041,synthetic-0041,TRAFFIC,end,synthetic-rule-3,from-policy,allow,aged-out,dns-base,LAN,WAN,ethernet1/3,ethernet1/1,udp,55591,53,Private-Use,United States,unknown,46370,24831,21539,48,31,17,0,infrastructure,networking,network-protocol,3,no,no,0
2000/01/01 00:14:42,882,100042,synthetic-0042,TRAFFIC,end,synthetic-rule-2,from-policy,allow,tcp-rst-from-client,web-browsing,DMZ,LAN,ethernet1/1,ethernet1/1,tcp,38645,80,Private-Use,Germany,unknown,33588,27864,5724,54,36,18,0,internet-utility,general-internet,browser-based,4,no,no,0
2000/01/01 00:13:37,817,100043,synthetic-0043,TRAFFIC,end,synthetic-rule-3,from-policy,allow,aged-out,dns-base,LAN,WAF,ethernet1/1,ethernet1/2,udp,10801,53,Private-Use,France,unknown,8090,2815,5275,30,5,25,44,infrastructure,networking,network-protocol,3,no,no,0
2000/01/01 00:13:56,836,100044,synthetic-0044,TRAFFIC,end,synthetic-rule-2,from-policy,allow,tcp-rst-from-client,dns-base,WAN,WAN,ethernet1/3,ethernet1/1,udp,40976,53,Private-Use,Private-Use,any,31529,12825,18704,53,25,28,0,infrastructure,networking,network-protocol,3,no,no,0
2000/01/01 00:01:30,90,100045,synthetic-0045,TRAFFIC,end,synthetic-rule-1,from-policy,allow,aged-out,dns-base,LAN,WAN,ethernet1/3,ethernet1/3,udp,47094,53,Private-Use,Netherlands,any,40617,15689,24928,67,29,38,120,infrastructure,networking,network-protocol,3,no,no,0
2000/01/01 00:06:54,414,100046,synthetic-0046,TRAFFIC,end,synthetic-rule-1,from-policy,allow,tcp-fin,snmpv3-get-request,LAN,WAN,ethernet1/1,ethernet1/1,udp,11897,161,Private-Use,Germany,computer-and-internet-info,30415,25305,5110,49,35,14,292,network-management,networking,client-server,2,no,no,0
2000/01/01 00:02:21,141,100047,synthetic-0047,TRAFFIC,end,synthetic-rule-3,from-policy,allow,tcp-fin,web-browsing,DMZ,WAF,ethernet1/1,ae1.10,tcp,49162,80,Private-Use,Germany,computer-and-internet-info,51149,18645,32504,67,33,34,0,internet-utility,general-internet,browser-based,4,no,no,0
2000/01/01 00:12:48,768,100048,synthetic-0048,TRAFFIC,end,synthetic-rule-3,from-policy,allow,tcp-rst-from-client,dns-base,DMZ,LAN,ae1.10,ethernet1/3,udp,12918,53,Private-Use,France,unknown,16866,1818,15048,54,18,36,252,infrastructure,networking,network-protocol,3,no,no,0
2000/01/01 00:08:10,490,100049,synthetic-0049,TRAFFIC,end,synthetic-rule-3,from-policy,allow,tcp-fin,web-browsing,WAN,LAN,ae1.10,ethernet1/1,tcp,30831,80,Private-Use,Private-Use,unknown,44864,16940,27924,48,22,26,0,internet-utility,general-internet,browser-based,4,no,no,0
2000/01/01 00:05:50,350,100050,synthetic-0050,TRAFFIC,end,synthetic-rule-3,from-policy,allow,tcp-fin,unknown-tcp,LAN,LAN,ethernet1/3,ae1.10,tcp,42010,7547,Private-Use,Netherlands,any,21864,16905,4959,64,35,29,0,unknown,unknown,unknown,1,no,no,0
2000/01/01 00:08:30,510,100051,synthetic-0051,TRAFFIC,end,synthetic-rule-3,from-policy,allow,aged-out,dns-base,LAN,WAF,ethernet1/1,ae1.10,udp,7132,53,Private-Use,United States,any,36414,30654,5760,54,39,15,237,infrastructure,networking,network-protocol,3,no,no,0
2000/01/01 00:06:56,416,100052,synthetic-0052,TRAFFIC,end,synthetic-rule-2,from-policy,allow,aged-out,ping,LAN,DMZ,ethernet1/2,ae1.10,icmp,13515,0,Private-Use,France,computer-and-internet-info,36674,9972,26702,44,18,26,70,infrastructure,networking,network-protocol,1,no,no,0
2000/01/01 00:19:26,1166,100053,synthetic-0053,TRAFFIC,end,synthetic-rule-2,from-policy,allow,tcp-rst-from-client,dns-base,WAN,DMZ,ethernet1/2,ae1.10,udp,36320,53,Private-Use,Netherlands,unknown,36252,12559,23693,38,19,19,0,infrastructure,networking,network-protocol,3,no,no,0
2000/01/01 00:22:30,1350,100054,synthetic-0054,TRAFFIC,end,synthetic-rule-2,from-policy,allow,tcp-fin,ssl,DMZ,WAN,ethernet1/1,ethernet1/3,tcp,49828,443,Private-Use,Netherlands,computer-and-internet-info,26600,7232,19368,52,16,36,0,encrypted-tunnel,networking,browser-based,4,no,no,0
2000/01/01 00:03:40,220,100055,synthetic-0055,TRAFFIC,drop,synthetic-rule-2,from-policy,drop,tcp-rst-from-server,ping,DMZ,WAF,ethernet1/1,ae1.10,icmp,2029,0,Private-Use,United States,unknown,29624,5976,23648,41,9,32,0,infrastructure,networking,network-protocol,1,no,no,0
2000/01/01 00:19:36,1176,100056,synthetic-0056,TRAFFIC,end,synthetic-rule-3,from-policy,allow,aged-out,snmpv3-get-request,LAN,WAF,ae1.10,ethernet1/1,udp,41489,161,Private-Use,Private-Use,any,33950,9878,24072,56,22,34,148,network-management,networking,client-server,2,no,no,0
2000/01/01 00:01:54,114,100057,synthetic-0057,TRAFFIC,end,synthetic-rule-2,from-policy,allow,tcp-fin,snmpv3-get-request,LAN,LAN,ethernet1/3,ethernet1/3,udp,29249,161,Private-Use,United States,any,2864,2140,724,21,20,1,0,network-management,networking,client-server,2,no,no,0
2000/01/01 00:07:44,464,100058,synthetic-0058,TRAFFIC,end,synthetic-rule-2,from-policy,allow,aged-out,ping,LAN,WAF,ethernet1/3,ae1.10,icmp,17757,0,Private-Use,Private-Use,unknown,21455,10512,10943,47,16,31,148,infrastructure,networking,network-protocol,1,no,no,0
2000/01/01 00:06:53,413,100059,synthetic-0059,TRAFFIC,end,synthetic-rule-2,from-policy,allow,tcp-fin,dns-base,LAN,DMZ,ae1.10,ethernet1/1,udp,16569,53,Private-Use,Netherlands,computer-and-internet-info,25604,14756,10848,44,28,16,0,infrastructure,networking,network-protocol,3,no,no,0
2000/01/01 00:10:00,600,100060,synthetic-0060,TRAFFIC,drop,synthetic-rule-1,from-policy,drop,aged-out,unknown-tcp,LAN,WAF,ethernet1/3,ethernet1/2,tcp,42745,7547,Private-Use,United States,computer-and-internet-info,28391,25160,3231,40,37,3,129,unknown,unknown,unknown,1,no,no,0
2000/01/01 00:02:02,122,100061,synthetic-0061,TRAFFIC,end,synthetic-rule-3,from-policy,allow,tcp-rst-from-client,ping,DMZ,LAN,ethernet1/3,ethernet1/2,icmp,6930,0,Private-Use,Germany,unknown,20879,2601,18278,22,3,19,0,infrastructure,networking,network-protocol,1,no,no,0
2000/01/01 00:24:48,1488,100062,synthetic-0062,TRAFFIC,drop,synthetic-rule-2,from-policy,drop,tcp-fin,dns-base,WAN,DMZ,ethernet1/1,ae1.10,udp,64128,53,Private-Use,Private-Use,any,34965,15045,19920,47,17,30,116,infrastructure,networking,network-protocol,3,no,no,0
2000/01/01 00:04:12,252,100063,synthetic-0063,TRAFFIC,drop,synthetic-rule-2,from-policy,drop,threat,ping,LAN,DMZ,ethernet1/3,ethernet1/3,icmp,39333,0,Private-Use,Netherlands,computer-and-internet-info,8580,8580,0,26,26,0,0,infrastructure,networking,network-protocol,1,no,no,0
2000/01/01 00:24:32,1472,100064,synthetic-0064,TRAFFIC,end,synthetic-rule-2,from-policy,allow,aged-out,dns-base,DMZ,DMZ,ae1.10,ethernet1/1,udp,10184,53,Private-Use,Private-Use,any,14690,10650,4040,19,15,4,156,infrastructure,networking,network-protocol,3,no,no,0
2000/01/01 00:15:10,910,100065,synthetic-0065,TRAFFIC,end,synthetic-rule-3,from-policy,allow,aged-out,dns-base,LAN,WAF,ethernet1/1,ae1.10,udp,41371,53,Private-Use,Netherlands,unknown,32911,23135,9776,61,35,26,17,infrastructure,networking,network-protocol,3,no,no,0
2000/01/01 00:02:12,132,100066,synthetic-0066,TRAFFIC,end,synthetic-rule-2,from-policy,allow,tcp-fin,dns-base,LAN,DMZ,ethernet1/3,ethernet1/2,udp,64476,53,Private-Use,Private-Use,unknown,44276,17280,26996,58,24,34,47,infrastructure,networking,network-protocol,3,no,no,0
2000/01/01 00:27:55,1675,100067,synthetic-0067,TRAFFIC,end,synthetic-rule-3,from-policy,allow,tcp-fin,ping,LAN,DMZ,ethernet1/2,ethernet1/2,icmp,54308,0,Private-Use,United States,unknown,9630,2430,7200,45,9,36,76,infrastructure,networking,network-protocol,1,no,no,0
2000/01/01 00:05:40,340,100068,synthetic-0068,TRAFFIC,drop,synthetic-rule-1,from-policy,drop,aged-out,ssl,LAN,WAN,ethernet1/3,ethernet1/2,tcp,39615,443,Private-Use,Germany,any,9616,8832,784,19,12,7,0,encrypted-tunnel,networking,browser-based,4,no,no,0
2000/01/01 00:17:15,1035,100069,synthetic-0069,TRAFFIC,end,synthetic-rule-3,from-policy,allow,tcp-fin,dns-base,LAN,LAN,ethernet1/2,ethernet1/1,udp,48684,53,Private-Use,France,unknown,25064,16008,9056,56,24,32,235,infrastructure,networking,network-protocol,3,no,no,0
2000/01/01 00:12:50,770,100070,synthetic-0070,TRAFFIC,end,synthetic-rule-3,from-policy,allow,threat,dns-base,LAN,WAF,ethernet1/2,ethernet1/1,udp,9294,53,Private-Use,Germany,computer-and-internet-info,10620,4320,6300,60,32,28,0,infrastructure,networking,network-protocol,3,no,no,0
2000/01/01 00:24:51,1491,100071,synthetic-0071,TRAFFIC,end,synthetic-rule-3,from-policy,allow,threat,web-browsing,LAN,WAF,ethernet1/2,ae1.10,tcp,30617,80,Private-Use,United States,unknown,26180,24416,1764,34,28,6,174,internet-utility,general-internet,browser-based,4,no,no,0
2000/01/01 00:03:36,216,100072,synthetic-0072,TRAFFIC,end,synthetic-rule-1,from-policy,allow,tcp-rst-from-client,web-browsing,LAN,DMZ,ethernet1/1,ethernet1/1,tcp,29327,80,Private-Use,Private-Use,computer-and-internet-info,27591,18312,9279,33,24,9,191,internet-utility,general-internet,browser-based,4,no,no,0
2000/01/01 00:29:12,1752,100073,synthetic-0073,TRAFFIC,end,synthetic-rule-1,from-policy,allow,tcp-fin,ssl,LAN,DMZ,ethernet1/3,ethernet1/3,tcp,24069,443,Private-Use,Private-Use,computer-and-internet-info,40379,20007,20372,49,27,22,0,encrypted-tunnel,networking,browser-based,4,no,no,0
2000/01/01 00:22:12,1332,100074,synthetic-0074,TRAFFIC,end,synthetic-rule-3,from-policy,allow,aged-out,ping,LAN,DMZ,ethernet1/1,ethernet1/3,icmp,2921,0,Private-Use,United States,unknown,39006,5238,33768,54,18,36,159,infrastructure,networking,network-protocol,1,no,no,0
2000/01/01 00:08:45,525,100075,synthetic-0075,TRAFFIC,end,synthetic-rule-2,from-policy,allow,aged-out,web-browsing,LAN,WAF,ae1.10,ae1.10,tcp,23364,80,Private-Use,United States,unknown,7378,1648,5730,7,2,5,160,internet-utility,general-internet,browser-based,4,no,no,0
2000/01/01 00:11:24,684,100076,synthetic-0076,TRAFFIC,end,synthetic-rule-2,from-policy,allow,tcp-fin,snmpv3-get-request,LAN,LAN,ae1.10,ae1.10,udp,40809,161,Private-Use,Netherlands,unknown,30681,30000,681,43,40,3,0,network-management,networking,client-server,2,no,no,0
2000/01/01 00:25:40,1540,100077,synthetic-0077,TRAFFIC,end,synthetic-rule-1,from-policy,allow,aged-out,ssl,LAN,WAF,ethernet1/1,ethernet1/2,tcp,20777,443,Private-Use,United States,any,7438,5700,1738,22,20,2,0,encrypted-tunnel,networking,browser-based,4,no,no,0
2000/01/01 00:03:54,234,100078,synthetic-0078,TRAFFIC,end,synthetic-rule-2,from-policy,allow,tcp-fin,dns-base,LAN,WAN,ethernet1/1,ae1.10,udp,2252,53,Private-Use,Netherlands,any,34600,9480,25120,47,15,32,0,infrastructure,networking,network-protocol,3,no,no,0
2000/01/01 00:19:45,1185,100079,synthetic-0079,TRAFFIC,end,synthetic-rule-3,from-policy,allow,tcp-rst-from-client,ssl,LAN,LAN,ethernet1/3,ethernet1/1,tcp,29644,443,Private-Use,Private-Use,any,31730,18480,13250,31,21,10,0,encrypted-tunnel,networking,browser-based,4,no,no,0
2000/01/01 00:05:20,320,100080,synthetic-0080,TRAFFIC,end,synthetic-rule-3,from-policy,allow,aged-out,ssl,LAN,DMZ,ethernet1/2,ethernet1/3,tcp,24033,443,Private-Use,United States,any,11826,6402,5424,15,11,4,0,encrypted-tunnel,networking,browser-based,4,no,no,0
2000/01/01 00:33:45,2025,100081,synthetic-0081,TRAFFIC,end,synthetic-rule-3,from-policy,allow,threat,dns-base,LAN,WAN,ae1.10,ethernet1/3,udp,57663,53,Private-Use,Germany,any,47180,6780,40400,52,12,40,0,infrastructure,networking,network-protocol,3,no,no,1
2000/01/01 00:02:44,164,100082,synthetic-0082,TRAFFIC,end,synthetic-rule-1,from-policy,allow,aged-out,web-browsing,LAN,LAN,ethernet1/3,ethernet1/3,tcp,6052,80,Private-Use,Private-Use,computer-and-internet-info,21375,2660,18715,24,5,19,0,internet-utility,general-internet,browser-based,4,no,no,0
2000/01/01 00:22:08,1328,100083,synthetic-0083,TRAFFIC,end,synthetic-rule-3,from-policy,allow,threat,ssl,LAN,LAN,ethernet1/2,ethernet1/1,tcp,30549,443,Private-Use,Private-Use,unknown,29981,14393,15588,49,37,12,0,encrypted-tunnel,networking,browser-based,4,no,no,0
2000/01/01 00:14:00,840,100084,synthetic-0084,TRAFFIC,end,synthetic-rule-2,from-policy,allow,aged-out,dns-base,LAN,WAF,ae1.10,ethernet1/3,udp,45516,53,Private-Use,France,any,25510,17280,8230,50,40,10,0,infrastructure,networking,network-protocol,3,no,no,0
2000/01/01 00:29:45,1785,100085,synthetic-0085,TRAFFIC,end,synthetic-rule-3,from-policy,allow,tcp-rst-from-client,dns-base,LAN,WAN,ae1.10,ethernet1/2,udp,40020,53,Private-Use,Private-Use,unknown,22139,15884,6255,47,38,9,0,infrastructure,networking,network-protocol,3,no,no,0
2000/01/01 00:17:12,1032,100086,synthetic-0086,TRAFFIC,end,synthetic-rule-2,from-policy,allow,tcp-rst-from-server,snmpv3-get-request,LAN,LAN,ethernet1/2,ethernet1/2,udp,23419,161,Private-Use,Netherlands,any,15144,12040,3104,60,28,32,116,network-management,networking,client-server,2,no,no,0
2000/01/01 00:07:15,435,100087,synthetic-0087,TRAFFIC,end,synthetic-rule-1,from-policy,allow,aged-out,dns-base,LAN,LAN,ethernet1/2,ethernet1/2,udp,48287,53,Private-Use,Netherlands,any,33488,26840,6648,48,40,8,0,infrastructure,networking,network-protocol,3,no,no,0
